1,1985-05-19,1 Metro St,true,Stive,Jobs,Stive.Jobs,sxsdfdf
2,1990-09-21,122 Spain Avenu,true,Sabrina,Kovti,Sabrina.Kovti,rewrwfdt
3,1991-02-18,56 Portygal Avenu,true,Mari,Katrin,Mari.Katrin,rerwew
4,1992-06-11,15 Rikky St,true,Barbara,Kovti,Barbara.Kovti,fds3dsfd
5,1994-10-11,67 Portline St,true,Emilia,Kavi,Emilia.Kavi,rewrwfdt
6,1996-10-11,61 Portline St,true,Kristi,Kambo,Kristi.Kambo,rekanb
7,1997-10-12,6 Red St,true,Emilia,Lucin,Emilia.Lucin,rbnbgfn
8,1994-10-18,83 Caspiy St,true,Marun,Klee,Marun.Klee,rewrwfdt
9,1994-10-10,11 Portline St,true,Tani,Kosun,Tani.Kosun,rewr7565
10,1994-10-09,67 Portline St,true,Amanda,Kavi,Amanda.Kavi,r5ky
